FECHA CREACIÓN;No. REQUERIMIENTO;DESCRIPCION REQUERIMIENTO ;APLICACIÓN;MÓDULO;GERENCIA;AREA;USUARIO;EMPRESA CONSULTORA;CONSULTOR;ESTADO REQUERIMIENTOS;FECHA ASIGNACIÓN;FECHA ESTIMADA DE ENTREGA;FECHA DE CIERRE;OBSERVACION
16/05/2014;6000000000;TEST DE NUEVO SERV DESK EN 7.1;SAP;FI-AA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/05/2014;6000000001;TEST DE NUEVO SERV DESK EN 7.1;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/05/2014;6000000002;PRUEBA- TEST CON ERROR;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/05/2014;6000000003;PRUEBA- TEST CON ERROR 2;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/05/2014;6000000004;PRUEBA-TEST;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000010;NO VISUALIZA DOC.FI EN TRANSACCIÓN MIGO;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000011;NO VISUALIZA DOC.FI EN TRANSACCIÓN MIRO;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000012;CREACION DE DOCUMENTOS DE PICKING;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000013;NO VISUALIZA DOC.FI EN TRANSACCIÓN MB02;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000014;TRANSACCIÓN MB1A OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000015;TRANSACCIÓN MB1B OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000016;TRANSACCIÓN MB1C OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000017;NO VISUALIZA DOC.FI EN TRANSACCIÓN MIGO;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
22/05/2014;6000000018;NO PERMITE GENERAR TRANSACCIÓN ZPAGOS_TR;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/05/2014;6000000020;TRANSACCION OBSOLETA;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/05/2014;6000000021;ERROR DOCUMENTOS FINANCIEROS;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/05/2014;6000000022;NO PERMITE ACCESO TRANSACCION FB03;SAP;FI-GL;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/05/2014;6000000023;ERROR DESPRENDIBLE DE NOMINA;;PY-CO;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/05/2014;6000000024;CONTABILIZACION DE SALIDAS DE MERCANCIA;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000025;CONFIGURACIÓN IMPRESORAS TESORERÍA;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000026;CONFIGURACIÓN IMPRESORAS TESORERÍA;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000027;GRUPO DE OPERACIONES NO ACTUALIZADAS;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000028;GRUPO DE OPERACIONES NO ACTUALIZADAS;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000029;GRUPO DE OPERACIONES NO ACTUALIZADAS;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000030;GRUPO DE OPERACIONES NO ACTUALIZADAS;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000031;TIEMPO DE RESPUESTA DEMORADO;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000032;DB20 (CHECK DB);;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000033;RZ10 OBSOLETA;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/05/2014;6000000034;S_BCE_68001439 REPORTE OBSOLETO;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/05/2014;6000000040;CARGUE MASIVO PSPTO EN CEBES;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/05/2014;6000000041;SCOT CONFIGURACION DIFERENTE;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
27/05/2014;6000000042;NO PERMITE CREAR EL MATERIAL;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
28/05/2014;6000000043;ERROR EN MAESTRO DEUDORES - CLIENTES;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
28/05/2014;6000000044;DEMANDA CAMPOS DE LA FUNCIÓN DE TEXTILES;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
28/05/2014;6000000045;ERROR AL CONTABILIZAR SALIDA MERCANCIAS;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
28/05/2014;6000000046;SSAA NO EJECUTA NINGUNA TAREA;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/05/2014;6000000047;PROGRAMA ZCDSDEV055 CANCELA;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/05/2014;6000000048;NO PERMITE MODIFICARR EL MATERIAL;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/05/2014;6000000049;ST06 CONFIGURACION DIFERENTE;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/05/2014;6000000050;STMS. TRANSPORTES NO APARECEN EN COLAS.;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000051;ERROR EN VERIFICACION DE DISPONIBILIDAD;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000052;ERROR EN IMPRESIÓN DE CHEQUES;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000053;ERROR EN TIEMPO DE EJECUCION VF31;SAP;FI-AR;PROYECTO NIIF;PROYECTO NIIF;SIN USUARIO;SIN EMPRESA;SIN CONSULTOR;ANULADO;ANULADO;ANULADO;ANULADO;
30/05/2014;6000000054;NO CONTABILIZACIÓN RECIBO DE CAJA;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000055;ERROR EN TIEMPO DE EJECUCION VF31;SAP;FI-AR;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000056;ERROR EN TIEMPO DE EJECUCION VF03;;SD-BIL;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000057;SPAD NO SALE IMPRESION;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/05/2014;6000000058;SP01 NO IMPRIME;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/06/2014;6000000060;CANCELA OBJETO SD_VBRK;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/06/2014;6000000061;TIEMPOS DE EJECUCIÓN MB1A;;;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/06/2014;6000000062;ERROR TIEMPO DE EJECUCION MB1B;;;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/06/2014;6000000063;ERROR ZFI002;SAP;FI-AR;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000064;TRANSACCIÓN MB1B OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000065;TRANSACCIÓN MB02 OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000066;TRANSACCIÓN MB03 OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000067;TRANSACCIÓN MB03 OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;SIN USUARIO;SIN EMPRESA;SIN CONSULTOR;ANULADO;ANULADO;ANULADO;ANULADO;
05/06/2014;6000000068;TRANSACCIÓN MB1A OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000069;TRANSACCIÓN MB1B OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000070;TRANSACCIÓN MB1C OBSOLETA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000071;ERROR TRANSACCIÓN ZMMOBSEQUIOS;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000072;ERROR TRANSACCIÓN ZMMOBSEQUIOS;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;SIN USUARIO;SIN EMPRESA;SIN CONSULTOR;ANULADO;ANULADO;ANULADO;ANULADO;
05/06/2014;6000000073;NO PERMITE MODIFICAR EL GRUPO DE CUENTAS;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/06/2014;6000000074;NO PERMITE MODIFICAR EN MASA PROVEEDORES;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
